dt,U_dN
0,10.5
0.01,10.4997
0.02,10.4987
0.03,10.4971
0.04,10.4948
0.05,10.4919
0.06,10.4883
0.07,10.4841
0.08,10.4792
0.09,10.4737
0.1,10.4675
0.11,10.4607
0.12,10.4533
0.13,10.4452
0.14,10.4365
0.15,10.4271
0.16,10.4171
0.17,10.4064
0.18,10.3951
0.19,10.3831
0.2,10.3705
0.21,10.3573
0.22,10.3433
0.23,10.3288
0.24,10.3135
0.25,10.2976
0.26,10.2811
0.27,10.2638
0.28,10.2459
0.29,10.2272
0.3,10.2079
0.31,10.1878
0.32,10.167
0.33,10.1454
0.34,10.1231
0.35,10.1
0.36,10.076
0.37,10.0513
0.38,10.0257
0.39,9.99927
0.4,9.97193
0.41,9.94368
0.42,9.91447
0.43,9.88429
0.44,9.85311
0.45,9.82088
0.46,9.78758
0.47,9.75317
0.48,9.71761
0.49,9.68086
0.5,9.64289
0.51,9.60365
0.52,9.5631
0.53,9.52119
0.54,9.47789
0.55,9.43313
0.56,9.38688
0.57,9.33909
0.58,9.28971
0.59,9.23868
0.6,9.18596
0.61,9.1315
0.62,9.07524
0.63,9.01713
0.64,8.95713
0.65,8.89517
0.66,8.83122
0.67,8.76521
0.68,8.6971
0.69,8.62683
0.7,8.55437
0.71,8.47965
0.72,8.40263
0.73,8.32327
0.74,8.24153
0.75,8.15735
0.76,8.0707
0.77,7.98154
0.78,7.88984
0.79,7.79555
0.8,7.69865
0.81,7.5991
0.82,7.49689
0.83,7.39198
0.84,7.28436
0.85,7.174
0.86,7.0609
0.87,6.94504
0.88,6.82641
0.89,6.70502
0.9,6.58086
0.91,6.45393
0.92,6.32425
0.93,6.19182
0.94,6.05667
0.95,5.91881
0.96,5.77826
0.97,5.63507
0.98,5.48926
0.99,5.34086
1,5.18993
1.01,5.03651
1.02,4.88064
1.03,4.7224
1.04,4.56183
1.05,4.399
1.06,4.23398
1.07,4.06684
1.08,3.89767
1.09,3.72654
1.1,3.55354
1.11,3.37876
1.12,3.20228
1.13,3.02422
1.14,2.84467
1.15,2.66373
1.16,2.48152
1.17,2.29813
1.18,2.11369
1.19,1.92832
1.2,1.74212
1.21,1.55523
1.22,1.36776
1.23,1.17985
1.24,0.991614
1.25,0.803187
1.26,0.614697
1.27,0.426277
1.28,0.238059
1.29,0.0501752
1.3,-0.137241
1.31,-0.324056
1.32,-0.510137
1.33,-0.69535
1.34,-0.879564
1.35,-1.06265
1.36,-1.24447
1.37,-1.42489
1.38,-1.6038
1.39,-1.78107
1.4,-1.95657
1.41,-2.13017
1.42,-2.30177
1.43,-2.47123
1.44,-2.63846
1.45,-2.80334
1.46,-2.96575
1.47,-3.12561
1.48,-3.2828
1.49,-3.43722
1.5,-3.5888
1.51,-3.73743
1.52,-3.88304
1.53,-4.02553
1.54,-4.16485
1.55,-4.30091
1.56,-4.43364
1.57,-4.563
1.58,-4.68891
1.59,-4.81133
1.6,-4.93021
1.61,-5.04551
1.62,-5.15718
1.63,-5.2652
1.64,-5.36953
1.65,-5.47017
1.66,-5.56707
1.67,-5.66024
1.68,-5.74967
1.69,-5.83534
1.7,-5.91727
1.71,-5.99544
1.72,-6.06989
1.73,-6.14061
1.74,-6.20762
1.75,-6.27096
1.76,-6.33063
1.77,-6.38668
1.78,-6.43912
1.79,-6.48801
1.8,-6.53338
1.81,-6.57526
1.82,-6.61371
1.83,-6.64878
1.84,-6.6805
1.85,-6.70894
1.86,-6.73414
1.87,-6.75617
1.88,-6.77507
1.89,-6.79091
1.9,-6.80374
1.91,-6.81363
1.92,-6.82064
1.93,-6.82482
1.94,-6.82624
1.95,-6.82496
1.96,-6.82103
1.97,-6.81453
1.98,-6.8055
1.99,-6.79401
2,-6.78011
2.01,-6.76387
2.02,-6.74533
2.03,-6.72455
2.04,-6.70158
2.05,-6.67647
2.06,-6.64927
2.07,-6.62002
2.08,-6.58877
2.09,-6.55556
2.1,-6.52042
2.11,-6.4834
2.12,-6.44452
2.13,-6.40383
2.14,-6.36133
2.15,-6.31707
2.16,-6.27106
2.17,-6.22333
2.18,-6.17388
2.19,-6.12274
2.2,-6.06992
2.21,-6.01543
2.22,-5.95927
2.23,-5.90145
2.24,-5.84197
2.25,-5.78083
2.26,-5.71802
2.27,-5.65356
2.28,-5.58741
2.29,-5.51959
2.3,-5.45007
2.31,-5.37886
2.32,-5.30592
2.33,-5.23126
2.34,-5.15486
2.35,-5.0767
2.36,-4.99677
2.37,-4.91505
2.38,-4.83153
2.39,-4.74618
2.4,-4.659
2.41,-4.56998
2.42,-4.47908
2.43,-4.38632
2.44,-4.29166
2.45,-4.19511
2.46,-4.09665
2.47,-3.99628
2.48,-3.894
2.49,-3.7898
2.5,-3.68369
2.51,-3.57566
2.52,-3.46573
2.53,-3.35391
2.54,-3.24021
2.55,-3.12464
2.56,-3.00724
2.57,-2.88802
2.58,-2.76702
2.59,-2.64427
2.6,-2.5198
2.61,-2.39366
2.62,-2.26589
2.63,-2.13656
2.64,-2.0057
2.65,-1.8734
