dt,U_dN
0,9
0.01,8.99977
0.02,8.9991
0.03,8.99796
0.04,8.99637
0.05,8.99432
0.06,8.99181
0.07,8.98882
0.08,8.98535
0.09,8.9814
0.1,8.97695
0.11,8.97199
0.12,8.96651
0.13,8.96051
0.14,8.95396
0.15,8.94686
0.16,8.93919
0.17,8.93093
0.18,8.92207
0.19,8.91259
0.2,8.90248
0.21,8.89171
0.22,8.88027
0.23,8.86814
0.24,8.8553
0.25,8.84174
0.26,8.82742
0.27,8.81234
0.28,8.79647
0.29,8.77979
0.3,8.76228
0.31,8.74392
0.32,8.72469
0.33,8.70456
0.34,8.68353
0.35,8.66157
0.36,8.63865
0.37,8.61477
0.38,8.58989
0.39,8.56401
0.4,8.5371
0.41,8.50914
0.42,8.48012
0.43,8.45002
0.44,8.41882
0.45,8.38651
0.46,8.35306
0.47,8.31847
0.48,8.28272
0.49,8.2458
0.5,8.20769
0.51,8.16838
0.52,8.12785
0.53,8.0861
0.54,8.04311
0.55,7.99887
0.56,7.95338
0.57,7.90662
0.58,7.85859
0.59,7.80926
0.6,7.75865
0.61,7.70673
0.62,7.65351
0.63,7.59897
0.64,7.54311
0.65,7.48592
0.66,7.4274
0.67,7.36753
0.68,7.30633
0.69,7.24377
0.7,7.17986
0.71,7.11458
0.72,7.04795
0.73,6.97994
0.74,6.91056
0.75,6.83979
0.76,6.76765
0.77,6.69411
0.78,6.61918
0.79,6.54285
0.8,6.46512
0.81,6.38598
0.82,6.30542
0.83,6.22344
0.84,6.14002
0.85,6.05518
0.86,5.96889
0.87,5.88116
0.88,5.79197
0.89,5.70131
0.9,5.60918
0.91,5.51558
0.92,5.42048
0.93,5.32389
0.94,5.2258
0.95,5.12619
0.96,5.02505
0.97,4.92239
0.98,4.81818
0.99,4.71242
1,4.6051
1.01,4.49622
1.02,4.38575
1.03,4.2737
1.04,4.16006
1.05,4.04482
1.06,3.92796
1.07,3.80949
1.08,3.6894
1.09,3.56768
1.1,3.44433
1.11,3.31935
1.12,3.19273
1.13,3.06447
1.14,2.93457
1.15,2.80304
1.16,2.66987
1.17,2.53508
1.18,2.39866
1.19,2.26063
1.2,2.12099
1.21,1.97977
1.22,1.83696
1.23,1.6926
1.24,1.54669
1.25,1.39927
1.26,1.25035
1.27,1.09996
1.28,0.948138
1.29,0.794908
1.3,0.640308
1.31,0.484379
1.32,0.327161
1.33,0.168701
1.34,0.00904718
1.35,-0.151748
1.36,-0.31363
1.37,-0.476538
1.38,-0.64041
1.39,-0.80518
1.4,-0.970778
1.41,-1.13713
1.42,-1.30416
1.43,-1.47179
1.44,-1.63992
1.45,-1.80848
1.46,-1.97738
1.47,-2.14651
1.48,-2.31577
1.49,-2.48508
1.5,-2.65431
1.51,-2.82337
1.52,-2.99214
1.53,-3.1605
1.54,-3.32834
1.55,-3.49553
1.56,-3.66196
1.57,-3.8275
1.58,-3.99201
1.59,-4.15537
1.6,-4.31744
1.61,-4.47809
1.62,-4.63719
1.63,-4.79459
1.64,-4.95015
1.65,-5.10375
1.66,-5.25522
1.67,-5.40444
1.68,-5.55126
1.69,-5.69553
1.7,-5.83713
1.71,-5.97589
1.72,-6.11169
1.73,-6.24438
1.74,-6.37382
1.75,-6.49987
1.76,-6.62241
1.77,-6.74129
1.78,-6.85638
1.79,-6.96756
1.8,-7.07469
1.81,-7.17766
1.82,-7.27634
1.83,-7.37062
1.84,-7.46038
1.85,-7.54551
1.86,-7.62592
1.87,-7.7015
1.88,-7.77216
1.89,-7.8378
1.9,-7.89835
1.91,-7.95372
1.92,-8.00384
1.93,-8.04864
1.94,-8.08807
1.95,-8.12207
1.96,-8.15059
1.97,-8.17359
1.98,-8.19103
1.99,-8.20289
2,-8.20914
2.01,-8.20977
2.02,-8.20478
2.03,-8.19417
2.04,-8.17793
2.05,-8.1561
2.06,-8.12869
2.07,-8.09572
2.08,-8.05725
2.09,-8.01331
2.1,-7.96395
2.11,-7.90923
2.12,-7.84923
2.13,-7.784
2.14,-7.71364
2.15,-7.63823
2.16,-7.55786
2.17,-7.47264
2.18,-7.38266
2.19,-7.28804
2.2,-7.18891
2.21,-7.08537
2.22,-6.97757
2.23,-6.86564
2.24,-6.74971
2.25,-6.62993
2.26,-6.50646
2.27,-6.37943
2.28,-6.24901
2.29,-6.11536
2.3,-5.97865
2.31,-5.83902
2.32,-5.69667
2.33,-5.55175
2.34,-5.40444
2.35,-5.25491
2.36,-5.10333
2.37,-4.94989
2.38,-4.79475
2.39,-4.63809
2.4,-4.4801
2.41,-4.32093
2.42,-4.16077
2.43,-3.99979
2.44,-3.83816
2.45,-3.67604
2.46,-3.5136
2.47,-3.35101
2.48,-3.18841
2.49,-3.02598
2.5,-2.86385
2.51,-2.70219
2.52,-2.54112
2.53,-2.3808
2.54,-2.22135
2.55,-2.0629
2.56,-1.90558
2.57,-1.74951
2.58,-1.59479
2.59,-1.44153
2.6,-1.28984
2.61,-1.1398
2.62,-0.991499
2.63,-0.845025
2.64,-0.700448
2.65,-0.557835
2.66,-0.417247
2.67,-0.278736
2.68,-0.14235
2.69,-0.00812954
2.7,0.123893
2.71,0.253692
2.72,0.381246
2.73,0.506543
2.74,0.629575
2.75,0.750342
2.76,0.868851
2.77,0.985113
2.78,1.09914
2.79,1.21097
2.8,1.32062
2.81,1.42812
2.82,1.53352
2.83,1.63686
2.84,1.73819
2.85,1.83755
2.86,1.93501
2.87,2.03062
2.88,2.12445
2.89,2.21656
2.9,2.30702
2.91,2.3959
2.92,2.48328
2.93,2.56921
2.94,2.65379
2.95,2.73707
2.96,2.81915
2.97,2.90008
2.98,2.97996
2.99,3.05884
3,3.13681
3.01,3.21392
3.02,3.29026
3.03,3.36589
3.04,3.44086
3.05,3.51525
3.06,3.5891
3.07,3.66247
3.08,3.73541
3.09,3.80796
3.1,3.88016
3.11,3.95205
3.12,4.02366
3.13,4.09501
3.14,4.16611
3.15,4.23699
3.16,4.30765
3.17,4.37808
3.18,4.44829
3.19,4.51826
3.2,4.58796
3.21,4.65738
3.22,4.72648
3.23,4.79522
3.24,4.86355
3.25,4.93143
3.26,4.99879
3.27,5.06556
3.28,5.13167
3.29,5.19704
3.3,5.26159
3.31,5.32522
3.32,5.38783
3.33,5.44932
3.34,5.50958
3.35,5.56849
3.36,5.62594
3.37,5.68179
3.38,5.73592
3.39,5.7882
3.4,5.83848
3.41,5.88662
3.42,5.93249
3.43,5.97594
3.44,6.01681
3.45,6.05495
3.46,6.09022
3.47,6.12246
3.48,6.15152
3.49,6.17724
3.5,6.19947
3.51,6.21807
3.52,6.23287
3.53,6.24375
3.54,6.25054
3.55,6.2531
3.56,6.25131
3.57,6.24503
3.58,6.23412
3.59,6.21846
3.6,6.19794
3.61,6.17245
3.62,6.14187
3.63,6.1061
3.64,6.06507
3.65,6.01868
3.66,5.96686
3.67,5.90955
3.68,5.84669
3.69,5.77823
3.7,5.70413
3.71,5.62437
3.72,5.53894
3.73,5.44782
3.74,5.35103
3.75,5.24857
3.76,5.14049
3.77,5.02682
3.78,4.9076
3.79,4.78292
3.8,4.65284
3.81,4.51745
3.82,4.37685
3.83,4.23116
3.84,4.08049
3.85,3.92499
3.86,3.76481
3.87,3.6001
3.88,3.43104
3.89,3.2578
3.9,3.08059
3.91,2.89961
3.92,2.71508
3.93,2.52721
3.94,2.33625
3.95,2.14244
3.96,1.94604
3.97,1.7473
3.98,1.5465
3.99,1.34392
4,1.13984
4.01,0.934555
4.02,0.728361
4.03,0.521562
4.04,0.314464
4.05,0.10738
