dt,U_dN
0,0
0.01,0.00102324
0.02,0.00409074
0.03,0.00919579
0.04,0.0163273
0.05,0.0254696
0.06,0.0366027
0.07,0.0497026
0.08,0.0647404
0.09,0.0816835
0.1,0.100495
0.11,0.121134
0.12,0.143556
0.13,0.167711
0.14,0.193549
0.15,0.221011
0.16,0.250041
0.17,0.280573
0.18,0.312544
0.19,0.345883
0.2,0.38052
0.21,0.41638
0.22,0.453386
0.23,0.49146
0.24,0.530521
0.25,0.570485
0.26,0.611269
0.27,0.652785
0.28,0.694947
0.29,0.737666
0.3,0.780854
0.31,0.82442
0.32,0.868273
0.33,0.912325
0.34,0.956483
0.35,1.00066
0.36,1.04476
0.37,1.0887
0.38,1.13239
0.39,1.17574
0.4,1.21866
0.41,1.26108
0.42,1.30291
0.43,1.34406
0.44,1.38446
0.45,1.42402
0.46,1.46269
0.47,1.50037
0.48,1.53701
0.49,1.57254
0.5,1.60689
0.51,1.64
0.52,1.67181
0.53,1.70227
0.54,1.73133
0.55,1.75894
0.56,1.78505
0.57,1.80963
0.58,1.83263
0.59,1.85403
0.6,1.8738
0.61,1.8919
0.62,1.90832
0.63,1.92305
0.64,1.93605
0.65,1.94734
0.66,1.95689
0.67,1.96471
0.68,1.9708
0.69,1.97516
0.7,1.9778
0.71,1.97874
0.72,1.97799
0.73,1.97557
0.74,1.9715
0.75,1.9658
0.76,1.95852
0.77,1.94968
0.78,1.93931
0.79,1.92746
0.8,1.91416
0.81,1.89947
0.82,1.88342
0.83,1.86606
0.84,1.84746
0.85,1.82765
0.86,1.80669
0.87,1.78464
0.88,1.76157
0.89,1.73752
0.9,1.71256
0.91,1.68676
0.92,1.66017
0.93,1.63286
0.94,1.60489
0.95,1.57634
0.96,1.54726
0.97,1.51772
0.98,1.48779
0.99,1.45754
1,1.42702
1.01,1.39631
1.02,1.36547
1.03,1.33456
1.04,1.30365
1.05,1.27279
1.06,1.24206
1.07,1.21151
1.08,1.1812
1.09,1.15118
1.1,1.12152
1.11,1.09226
1.12,1.06346
1.13,1.03518
1.14,1.00745
1.15,0.980326
1.16,0.953854
1.17,0.928075
1.18,0.903031
1.19,0.878759
1.2,0.855296
1.21,0.832676
1.22,0.81093
1.23,0.790087
1.24,0.770175
1.25,0.751217
1.26,0.733237
1.27,0.716253
1.28,0.700283
1.29,0.685342
1.3,0.671443
1.31,0.658595
1.32,0.646807
1.33,0.636084
1.34,0.626429
1.35,0.617844
1.36,0.610327
1.37,0.603874
1.38,0.598482
1.39,0.594141
1.4,0.590842
1.41,0.588575
1.42,0.587325
1.43,0.587077
1.44,0.587814
1.45,0.589517
1.46,0.592167
1.47,0.595741
1.48,0.600215
1.49,0.605564
1.5,0.611763
1.51,0.618783
1.52,0.626596
1.53,0.63517
1.54,0.644476
1.55,0.65448
1.56,0.66515
1.57,0.676451
1.58,0.688348
1.59,0.700804
1.6,0.713785
1.61,0.727251
1.62,0.741166
1.63,0.75549
1.64,0.770186
1.65,0.785212
1.66,0.800531
1.67,0.8161
1.68,0.831881
1.69,0.847832
1.7,0.863913
1.71,0.880081
1.72,0.896297
1.73,0.912519
1.74,0.928706
1.75,0.944817
1.76,0.960809
1.77,0.976643
1.78,0.992277
1.79,1.00767
1.8,1.02278
1.81,1.03757
1.82,1.052
1.83,1.06602
1.84,1.07961
1.85,1.09271
1.86,1.10529
1.87,1.11731
1.88,1.12873
1.89,1.13952
1.9,1.14964
1.91,1.15904
1.92,1.1677
1.93,1.17557
1.94,1.18263
1.95,1.18883
1.96,1.19415
1.97,1.19855
1.98,1.20199
1.99,1.20444
2,1.20588
2.01,1.20627
2.02,1.20557
2.03,1.20378
2.04,1.20084
2.05,1.19674
2.06,1.19145
2.07,1.18494
2.08,1.1772
2.09,1.16819
2.1,1.15789
2.11,1.14628
2.12,1.13335
2.13,1.11907
2.14,1.10343
2.15,1.08641
2.16,1.06799
2.17,1.04816
2.18,1.02692
2.19,1.00425
2.2,0.980133
2.21,0.954574
2.22,0.927565
2.23,0.899101
2.24,0.869181
2.25,0.837805
2.26,0.804976
2.27,0.770695
2.28,0.734971
2.29,0.69781
2.3,0.659223
2.31,0.619222
2.32,0.577821
2.33,0.535036
2.34,0.490886
2.35,0.445392
2.36,0.398578
2.37,0.350468
2.38,0.30109
2.39,0.250474
2.4,0.198653
2.41,0.145661
2.42,0.0915363
2.43,0.0363171
2.44,-0.0199545
2.45,-0.0772345
2.46,-0.135477
2.47,-0.194632
2.48,-0.25465
2.49,-0.315477
2.5,-0.377059
2.51,-0.439337
2.52,-0.502252
2.53,-0.565743
2.54,-0.629746
2.55,-0.694196
2.56,-0.759026
2.57,-0.824166
2.58,-0.889546
2.59,-0.955093
2.6,-1.02073
2.61,-1.08639
2.62,-1.152
2.63,-1.21746
2.64,-1.28272
2.65,-1.34768
2.66,-1.41226
2.67,-1.47639
2.68,-1.53999
2.69,-1.60296
2.7,-1.66523
2.71,-1.72672
2.72,-1.78734
2.73,-1.84702
2.74,-1.90566
2.75,-1.96319
2.76,-2.01952
2.77,-2.07458
2.78,-2.12829
2.79,-2.18056
2.8,-2.23132
2.81,-2.2805
2.82,-2.32802
2.83,-2.3738
2.84,-2.41778
2.85,-2.45989
2.86,-2.50006
2.87,-2.53822
2.88,-2.57432
2.89,-2.60829
2.9,-2.64008
2.91,-2.66963
2.92,-2.69689
2.93,-2.72181
2.94,-2.74435
2.95,-2.76447
2.96,-2.78212
2.97,-2.79727
2.98,-2.8099
2.99,-2.81996
3,-2.82744
3.01,-2.83232
3.02,-2.83458
3.03,-2.8342
3.04,-2.83118
3.05,-2.82551
3.06,-2.81719
3.07,-2.80622
3.08,-2.79261
3.09,-2.77637
3.1,-2.75751
3.11,-2.73605
3.12,-2.71202
3.13,-2.68543
3.14,-2.65632
3.15,-2.62472
3.16,-2.59066
3.17,-2.55419
3.18,-2.51536
3.19,-2.4742
3.2,-2.43077
3.21,-2.38513
3.22,-2.33732
3.23,-2.28741
3.24,-2.23545
3.25,-2.18153
3.26,-2.12569
3.27,-2.06802
3.28,-2.00858
3.29,-1.94745
3.3,-1.88469
3.31,-1.8204
3.32,-1.75465
3.33,-1.68751
3.34,-1.61908
3.35,-1.54942
3.36,-1.47863
3.37,-1.40679
3.38,-1.33398
3.39,-1.26028
3.4,-1.18578
3.41,-1.11056
3.42,-1.03471
3.43,-0.958307
3.44,-0.881433
3.45,-0.804169
3.46,-0.726595
3.47,-0.64879
3.48,-0.570829
3.49,-0.492789
3.5,-0.414742
3.51,-0.33676
3.52,-0.258912
3.53,-0.181264
3.54,-0.103883
3.55,-0.0268286
3.56,0.049839
3.57,0.126063
3.58,0.201791
3.59,0.276971
3.6,0.351556
3.61,0.425502
3.62,0.498767
3.63,0.571314
3.64,0.643107
3.65,0.714115
3.66,0.784311
3.67,0.853669
3.68,0.92217
3.69,0.989794
3.7,1.05653
3.71,1.12236
3.72,1.18728
3.73,1.25129
3.74,1.31439
3.75,1.37657
3.76,1.43784
3.77,1.49821
3.78,1.55769
3.79,1.61629
3.8,1.67404
3.81,1.73094
3.82,1.78702
3.83,1.8423
3.84,1.89681
3.85,1.95057
3.86,2.00361
3.87,2.05597
3.88,2.10768
3.89,2.15876
3.9,2.20925
3.91,2.25919
3.92,2.30862
3.93,2.35756
3.94,2.40606
3.95,2.45415
3.96,2.50186
3.97,2.54924
3.98,2.59632
3.99,2.64313
4,2.6897
4.01,2.73607
4.02,2.78227
4.03,2.82833
4.04,2.87428
4.05,2.92013
4.06,2.96592
4.07,3.01166
4.08,3.05738
4.09,3.10308
4.1,3.14879
4.11,3.19451
4.12,3.24024
4.13,3.286
4.14,3.33178
4.15,3.37758
4.16,3.42339
4.17,3.46919
4.18,3.51499
4.19,3.56075
4.2,3.60645
4.21,3.65208
4.22,3.69759
4.23,3.74295
4.24,3.78812
4.25,3.83307
4.26,3.87773
4.27,3.92207
4.28,3.96602
4.29,4.00954
4.3,4.05254
4.31,4.09497
4.32,4.13676
4.33,4.17782
4.34,4.21809
4.35,4.25747
4.36,4.29589
4.37,4.33326
4.38,4.36948
4.39,4.40446
4.4,4.4381
4.41,4.4703
4.42,4.50096
4.43,4.52997
4.44,4.55723
4.45,4.58263
4.46,4.60606
4.47,4.62741
4.48,4.64656
4.49,4.66341
4.5,4.67784
4.51,4.68973
4.52,4.69897
4.53,4.70545
4.54,4.70905
4.55,4.70967
4.56,4.70719
4.57,4.7015
4.58,4.69249
4.59,4.68005
4.6,4.66409
4.61,4.6445
4.62,4.62118
4.63,4.59403
4.64,4.56296
4.65,4.52789
4.66,4.48872
4.67,4.44538
4.68,4.39778
4.69,4.34586
4.7,4.28955
4.71,4.22877
4.72,4.16349
4.73,4.09363
4.74,4.01917
4.75,3.94004
4.76,3.85623
4.77,3.7677
4.78,3.67442
4.79,3.57639
4.8,3.47358
4.81,3.366
4.82,3.25366
4.83,3.13655
4.84,3.01471
4.85,2.88814
4.86,2.75689
4.87,2.62099
4.88,2.48049
4.89,2.33544
4.9,2.1859
4.91,2.03193
4.92,1.87361
4.93,1.71102
4.94,1.54424
4.95,1.37338
4.96,1.19852
4.97,1.01979
4.98,0.837285
4.99,0.651132
5,0.461457
5.01,0.268391
5.02,0.0720732
5.03,-0.127354
5.04,-0.329741
5.05,-0.534935
5.06,-0.742776
5.07,-0.9531
5.08,-1.16574
5.09,-1.38052
5.1,-1.59727
5.11,-1.81581
5.12,-2.03595
5.13,-2.25751
5.14,-2.4803
5.15,-2.70413
5.16,-2.92879
5.17,-3.15411
5.18,-3.37988
5.19,-3.6059
5.2,-3.83198
5.21,-4.05791
5.22,-4.28349
5.23,-4.50853
5.24,-4.73282
5.25,-4.95618
5.26,-5.17839
5.27,-5.39927
5.28,-5.61862
5.29,-5.83625
5.3,-6.05197
5.31,-6.26559
5.32,-6.47693
5.33,-6.68581
5.34,-6.89205
5.35,-7.09548
5.36,-7.29593
5.37,-7.49324
5.38,-7.68725
5.39,-7.8778
5.4,-8.06475
5.41,-8.24794
5.42,-8.42725
5.43,-8.60254
5.44,-8.77368
5.45,-8.94055
5.46,-9.10305
5.47,-9.26105
5.48,-9.41447
5.49,-9.56321
5.5,-9.70719
5.51,-9.84631
5.52,-9.98051
5.53,-10.1097
5.54,-10.2339
5.55,-10.353
5.56,-10.4669
5.57,-10.5757
5.58,-10.6793
5.59,-10.7776
5.6,-10.8707
5.61,-10.9586
5.62,-11.0412
5.63,-11.1185
5.64,-11.1907
5.65,-11.2576
5.66,-11.3193
5.67,-11.3759
5.68,-11.4274
5.69,-11.4739
5.7,-11.5153
5.71,-11.5517
5.72,-11.5833
5.73,-11.6101
5.74,-11.6321
5.75,-11.6494
5.76,-11.6622
5.77,-11.6705
5.78,-11.6743
5.79,-11.6739
5.8,-11.6692
5.81,-11.6605
5.82,-11.6477
5.83,-11.6311
5.84,-11.6107
5.85,-11.5866
5.86,-11.559
5.87,-11.528
5.88,-11.4936
5.89,-11.4561
5.9,-11.4155
5.91,-11.372
5.92,-11.3257
5.93,-11.2766
5.94,-11.225
5.95,-11.1709
5.96,-11.1145
5.97,-11.0559
5.98,-10.9951
5.99,-10.9324
6,-10.8678
6.01,-10.8015
6.02,-10.7335
6.03,-10.6639
6.04,-10.5929
6.05,-10.5206
6.06,-10.447
6.07,-10.3722
6.08,-10.2964
6.09,-10.2196
6.1,-10.1419
6.11,-10.0633
6.12,-9.984
6.13,-9.90401
6.14,-9.82338
6.15,-9.74219
6.16,-9.66048
6.17,-9.57829
6.18,-9.49569
6.19,-9.41269
6.2,-9.32934
6.21,-9.24567
6.22,-9.1617
6.23,-9.07744
6.24,-8.99291
6.25,-8.90813
6.26,-8.82309
6.27,-8.73779
6.28,-8.65224
6.29,-8.56642
6.3,-8.48031
6.31,-8.39391
6.32,-8.30719
6.33,-8.22012
6.34,-8.13268
6.35,-8.04483
6.36,-7.95654
6.37,-7.86777
6.38,-7.77848
6.39,-7.68863
6.4,-7.59816
6.41,-7.50704
6.42,-7.4152
6.43,-7.32261
6.44,-7.22921
6.45,-7.13493
6.46,-7.03974
6.47,-6.94357
6.48,-6.84636
6.49,-6.74807
6.5,-6.64864
6.51,-6.54801
6.52,-6.44614
6.53,-6.34296
6.54,-6.23843
6.55,-6.1325
6.56,-6.02513
6.57,-5.91627
6.58,-5.80587
6.59,-5.69391
6.6,-5.58034
6.61,-5.46513
6.62,-5.34825
6.63,-5.22969
6.64,-5.10942
6.65,-4.98742
6.66,-4.86368
6.67,-4.7382
6.68,-4.61097
6.69,-4.48199
6.7,-4.35128
6.71,-4.21885
6.72,-4.08472
6.73,-3.9489
6.74,-3.81144
6.75,-3.67236
6.76,-3.53172
6.77,-3.38955
6.78,-3.24591
6.79,-3.10085
6.8,-2.95445
6.81,-2.80678
6.82,-2.65791
6.83,-2.50791
6.84,-2.35689
6.85,-2.20494
6.86,-2.05214
6.87,-1.89861
6.88,-1.74446
6.89,-1.5898
6.9,-1.43475
6.91,-1.27943
6.92,-1.12397
6.93,-0.968506
6.94,-0.813169
6.95,-0.658101
6.96,-0.503445
6.97,-0.349346
6.98,-0.195955
6.99,-0.0434234
7,0.108096
7.01,0.258447
7.02,0.407473
7.03,0.555015
7.04,0.700914
7.05,0.84501
7.06,0.987144
7.07,1.12716
7.08,1.26489
7.09,1.40018
7.1,1.53288
7.11,1.66283
7.12,1.78987
7.13,1.91387
7.14,2.03467
7.15,2.15212
