dt,WR
3,-11.5624
3.01,-11.7073
3.02,-11.8393
3.03,-11.9583
3.04,-12.0639
3.05,-12.1559
3.06,-12.2342
3.07,-12.2986
3.08,-12.3489
3.09,-12.385
3.1,-12.4069
3.11,-12.4144
3.12,-12.4076
3.13,-12.3865
3.14,-12.351
3.15,-12.3013
3.16,-12.2374
3.17,-12.1595
3.18,-12.0676
3.19,-11.962
3.2,-11.8427
3.21,-11.7102
3.22,-11.5645
3.23,-11.406
3.24,-11.235
3.25,-11.0518
3.26,-10.8567
3.27,-10.6501
3.28,-10.4324
3.29,-10.2039
3.3,-9.96521
3.31,-9.71666
3.32,-9.45874
3.33,-9.19194
3.34,-8.91675
3.35,-8.63368
3.36,-8.34327
3.37,-8.04604
3.38,-7.74256
3.39,-7.43338
3.4,-7.11907
3.41,-6.8002
3.42,-6.47736
3.43,-6.15114
3.44,-5.82213
3.45,-5.49091
3.46,-5.15809
3.47,-4.82427
3.48,-4.49002
3.49,-4.15594
3.5,-3.82263
3.51,-3.49065
3.52,-3.16058
3.53,-2.83299
3.54,-2.50844
3.55,-2.18747
3.56,-1.87062
3.57,-1.5584
3.58,-1.25133
3.59,-0.949911
3.6,-0.654611
3.61,-0.365896
3.62,-0.0842103
3.63,0.190019
3.64,0.456386
3.65,0.714501
3.66,0.964001
3.67,1.20454
3.68,1.43579
3.69,1.65746
3.7,1.86927
3.71,2.07096
3.72,2.26231
3.73,2.44312
3.74,2.61319
3.75,2.77238
3.76,2.92056
3.77,3.05762
3.78,3.18349
3.79,3.2981
3.8,3.40144
3.81,3.49349
3.82,3.57428
3.83,3.64385
3.84,3.70228
3.85,3.74966
3.86,3.7861
3.87,3.81175
3.88,3.82677
3.89,3.83135
3.9,3.82569
3.91,3.81002
3.92,3.7846
3.93,3.74968
3.94,3.70556
3.95,3.65253
3.96,3.59092
3.97,3.52107
3.98,3.44333
3.99,3.35805
4,3.26563
4.01,3.16645
4.02,3.06092
4.03,2.94944
4.04,2.83244
4.05,2.71035
4.06,2.5836
4.07,2.45263
4.08,2.3179
4.09,2.17984
4.1,2.03892
4.11,1.89559
4.12,1.75029
4.13,1.60348
4.14,1.45562
4.15,1.30715
4.16,1.15851
4.17,1.01015
4.18,0.862487
4.19,0.715959
4.2,0.570981
4.21,0.42796
4.22,0.287296
4.23,0.149378
4.24,0.0145816
4.25,-0.116728
4.26,-0.244199
4.27,-0.367493
4.28,-0.486288
4.29,-0.600274
4.3,-0.709158
4.31,-0.812664
4.32,-0.910531
4.33,-1.00252
4.34,-1.08839
4.35,-1.16796
4.36,-1.24101
4.37,-1.30739
4.38,-1.36694
4.39,-1.41952
4.4,-1.46503
4.41,-1.50336
4.42,-1.53443
4.43,-1.55819
4.44,-1.5746
4.45,-1.58363
4.46,-1.58528
4.47,-1.57958
4.48,-1.56654
4.49,-1.54622
4.5,-1.5187
4.51,-1.48404
4.52,-1.44236
4.53,-1.39377
4.54,-1.33841
4.55,-1.27642
4.56,-1.20796
4.57,-1.13322
4.58,-1.05237
4.59,-0.965621
4.6,-0.873185
4.61,-0.775285
4.62,-0.672157
4.63,-0.564043
4.64,-0.451196
4.65,-0.333878
4.66,-0.212357
4.67,-0.086906
4.68,0.0421935
4.69,0.174657
4.7,0.310194
4.71,0.448514
4.72,0.589321
4.73,0.732319
4.74,0.87721
4.75,1.0237
4.76,1.17148
4.77,1.32027
4.78,1.46977
4.79,1.61969
4.8,1.76974
4.81,1.91965
4.82,2.06913
4.83,2.21791
4.84,2.36573
4.85,2.51233
4.86,2.65746
4.87,2.80087
4.88,2.94234
4.89,3.08163
4.9,3.21853
4.91,3.35283
4.92,3.48434
4.93,3.61287
4.94,3.73826
4.95,3.86032
4.96,3.97892
4.97,4.09391
4.98,4.20516
4.99,4.31256
5,4.416
5.01,4.51539
5.02,4.61065
5.03,4.7017
5.04,4.7885
5.05,4.871
5.06,4.94916
5.07,5.02297
5.08,5.09241
5.09,5.15749
5.1,5.21821
5.11,5.27461
5.12,5.3267
5.13,5.37455
5.14,5.4182
5.15,5.45771
5.16,5.49317
5.17,5.52463
5.18,5.55221
5.19,5.57599
5.2,5.59607
5.21,5.61258
5.22,5.62561
5.23,5.63531
5.24,5.64179
5.25,5.64519
5.26,5.64564
5.27,5.64329
5.28,5.63828
5.29,5.63076
5.3,5.62088
5.31,5.60877
5.32,5.59461
5.33,5.57854
5.34,5.56071
5.35,5.54127
5.36,5.52038
5.37,5.49818
5.38,5.47482
5.39,5.45045
5.4,5.42521
5.41,5.39924
5.42,5.37267
5.43,5.34564
5.44,5.31827
5.45,5.29069
5.46,5.26302
5.47,5.23536
5.48,5.20783
5.49,5.18053
5.5,5.15355
5.51,5.12698
5.52,5.10091
5.53,5.07541
5.54,5.05056
5.55,5.02641
5.56,5.00302
5.57,4.98046
5.58,4.95875
5.59,4.93793
5.6,4.91804
5.61,4.8991
5.62,4.88112
5.63,4.86412
5.64,4.8481
5.65,4.83306
5.66,4.81899
5.67,4.80587
5.68,4.7937
5.69,4.78243
5.7,4.77205
5.71,4.76251
5.72,4.75379
5.73,4.74582
5.74,4.73858
5.75,4.73201
5.76,4.72604
5.77,4.72064
5.78,4.71573
5.79,4.71125
5.8,4.70715
5.81,4.70335
5.82,4.69978
5.83,4.69639
5.84,4.6931
5.85,4.68985
5.86,4.68656
5.87,4.68318
5.88,4.67963
5.89,4.67585
5.9,4.67177
5.91,4.66735
5.92,4.66251
5.93,4.6572
5.94,4.65137
5.95,4.64496
5.96,4.63794
5.97,4.63026
5.98,4.62187
5.99,4.61275
6,4.60287
6.01,4.59219
6.02,4.58069
6.03,4.56837
6.04,4.5552
6.05,4.54119
6.06,4.52632
6.07,4.51061
6.08,4.49405
6.09,4.47667
6.1,4.45848
6.11,4.43951
6.12,4.41979
6.13,4.39934
6.14,4.37822
6.15,4.35645
6.16,4.3341
6.17,4.31121
6.18,4.28785
6.19,4.26406
6.2,4.23993
6.21,4.21551
6.22,4.19088
6.23,4.16612
6.24,4.1413
6.25,4.11651
6.26,4.09184
6.27,4.06736
6.28,4.04317
6.29,4.01936
6.3,3.99601
6.31,3.97323
6.32,3.95109
6.33,3.92971
6.34,3.90916
6.35,3.88955
6.36,3.87095
6.37,3.85348
6.38,3.8372
6.39,3.82222
6.4,3.80861
6.41,3.79646
6.42,3.78585
6.43,3.77686
6.44,3.76956
6.45,3.76402
6.46,3.76031
6.47,3.7585
6.48,3.75863
6.49,3.76076
6.5,3.76495
6.51,3.77123
6.52,3.77964
6.53,3.79022
6.54,3.803
6.55,3.818
6.56,3.83523
6.57,3.85471
6.58,3.87644
6.59,3.90041
6.6,3.92663
6.61,3.95508
6.62,3.98574
6.63,4.01859
6.64,4.0536
6.65,4.09072
6.66,4.12993
6.67,4.17116
6.68,4.21437
6.69,4.25951
6.7,4.3065
6.71,4.35528
6.72,4.40578
6.73,4.45791
6.74,4.51161
6.75,4.56678
6.76,4.62334
6.77,4.68119
6.78,4.74024
6.79,4.80039
6.8,4.86155
6.81,4.9236
6.82,4.98644
6.83,5.04998
6.84,5.1141
6.85,5.17869
6.86,5.24366
6.87,5.30888
6.88,5.37426
6.89,5.43969
6.9,5.50507
6.91,5.57029
6.92,5.63524
6.93,5.69984
6.94,5.76399
6.95,5.82758
6.96,5.89054
6.97,5.95277
6.98,6.0142
6.99,6.07473
7,6.13431
7.01,6.19286
7.02,6.25032
7.03,6.30662
7.04,6.36172
7.05,6.41556
7.06,6.46812
7.07,6.51934
7.08,6.5692
7.09,6.61767
7.1,6.66475
7.11,6.71042
7.12,6.75467
7.13,6.79751
7.14,6.83895
7.15,6.879
7.16,6.91769
7.17,6.95504
7.18,6.99109
7.19,7.02589
7.2,7.05947
7.21,7.0919
7.22,7.12324
7.23,7.15354
7.24,7.18288
7.25,7.21134
7.26,7.23899
7.27,7.26592
7.28,7.29223
7.29,7.31801
7.3,7.34334
7.31,7.36835
7.32,7.39312
7.33,7.41777
7.34,7.4424
7.35,7.46714
7.36,7.49208
7.37,7.51734
7.38,7.54304
7.39,7.5693
7.4,7.59622
7.41,7.62393
7.42,7.65252
7.43,7.68212
7.44,7.71284
7.45,7.74478
7.46,7.77804
7.47,7.81273
7.48,7.84895
7.49,7.88678
7.5,7.92632
7.51,7.96765
7.52,8.01085
7.53,8.05599
7.54,8.10315
7.55,8.15237
7.56,8.20373
7.57,8.25726
7.58,8.31301
7.59,8.371
7.6,8.43128
7.61,8.49385
7.62,8.55872
7.63,8.6259
7.64,8.69538
7.65,8.76715
7.66,8.84118
7.67,8.91744
7.68,8.99589
7.69,9.07649
7.7,9.15917
7.71,9.24388
7.72,9.33053
7.73,9.41904
7.74,9.50932
7.75,9.60128
7.76,9.69481
7.77,9.78979
7.78,9.8861
7.79,9.98361
7.8,10.0822
7.81,10.1817
7.82,10.282
7.83,10.3829
7.84,10.4842
7.85,10.5859
7.86,10.6877
7.87,10.7894
7.88,10.8909
7.89,10.992
7.9,11.0925
7.91,11.1922
7.92,11.291
7.93,11.3886
7.94,11.4848
7.95,11.5795
7.96,11.6725
7.97,11.7635
7.98,11.8524
7.99,11.939
8,12.0232
8.01,12.1046
8.02,12.1833
8.03,12.2588
8.04,12.3312
8.05,12.4002
8.06,12.4657
8.07,12.5275
8.08,12.5855
8.09,12.6395
8.1,12.6894
8.11,12.735
8.12,12.7763
8.13,12.8131
8.14,12.8454
8.15,12.8729
8.16,12.8957
8.17,12.9136
8.18,12.9267
8.19,12.9348
8.2,12.9378
8.21,12.9359
8.22,12.9288
8.23,12.9167
8.24,12.8994
8.25,12.8771
8.26,12.8497
8.27,12.8172
8.28,12.7797
8.29,12.7372
8.3,12.6898
8.31,12.6376
8.32,12.5805
8.33,12.5188
8.34,12.4525
8.35,12.3816
8.36,12.3064
8.37,12.2269
8.38,12.1433
8.39,12.0556
8.4,11.9641
8.41,11.8689
8.42,11.7701
8.43,11.6679
8.44,11.5625
8.45,11.4539
8.46,11.3425
8.47,11.2284
8.48,11.1118
8.49,10.9928
8.5,10.8716
8.51,10.7485
8.52,10.6235
8.53,10.497
8.54,10.3691
8.55,10.2399
8.56,10.1097
8.57,9.97858
8.58,9.84682
8.59,9.71456
8.6,9.58196
8.61,9.4492
8.62,9.31644
8.63,9.18384
8.64,9.05154
8.65,8.9197
8.66,8.78846
8.67,8.65793
8.68,8.52826
8.69,8.39954
8.7,8.27189
8.71,8.1454
8.72,8.02017
8.73,7.89626
8.74,7.77376
8.75,7.65271
8.76,7.53317
8.77,7.41517
8.78,7.29875
8.79,7.18392
8.8,7.07068
8.81,6.95904
8.82,6.84898
8.83,6.74048
8.84,6.6335
8.85,6.528
8.86,6.42392
8.87,6.32121
8.88,6.21978
8.89,6.11955
8.9,6.02043
8.91,5.92233
8.92,5.82514
8.93,5.72873
8.94,5.633
8.95,5.5378
8.96,5.44301
8.97,5.34848
8.98,5.25406
8.99,5.15962
9,5.06498
9.01,4.97
9.02,4.87452
9.03,4.77838
9.04,4.6814
9.05,4.58344
9.06,4.48432
9.07,4.38389
9.08,4.28197
9.09,4.17843
9.1,4.07309
9.11,3.96582
9.12,3.85645
9.13,3.74486
9.14,3.6309
9.15,3.51445
9.16,3.39539
9.17,3.27359
9.18,3.14896
9.19,3.0214
9.2,2.89082
9.21,2.75715
9.22,2.62032
9.23,2.48027
9.24,2.33697
9.25,2.19039
9.26,2.0405
9.27,1.88731
9.28,1.73082
9.29,1.57106
9.3,1.40806
9.31,1.24188
9.32,1.07257
9.33,0.900224
9.34,0.724933
9.35,0.546806
9.36,0.365966
9.37,0.182551
9.38,-0.00328454
9.39,-0.191375
9.4,-0.381539
9.41,-0.573582
9.42,-0.767295
9.43,-0.962456
9.44,-1.15883
9.45,-1.35617
9.46,-1.55423
9.47,-1.75272
9.48,-1.95137
9.49,-2.14988
9.5,-2.34797
9.51,-2.5453
9.52,-2.74158
9.53,-2.93648
9.54,-3.12966
9.55,-3.32078
9.56,-3.50952
9.57,-3.69551
9.58,-3.87841
9.59,-4.05787
9.6,-4.23353
9.61,-4.40506
9.62,-4.57208
9.63,-4.73426
9.64,-4.89125
9.65,-5.0427
9.66,-5.18827
9.67,-5.32764
9.68,-5.46047
9.69,-5.58646
9.7,-5.70528
9.71,-5.81665
9.72,-5.92027
9.73,-6.01586
9.74,-6.10317
9.75,-6.18195
9.76,-6.25195
9.77,-6.31296
9.78,-6.36478
9.79,-6.40721
9.8,-6.4401
9.81,-6.46328
9.82,-6.47663
9.83,-6.48003
9.84,-6.4734
9.85,-6.45666
9.86,-6.42977
9.87,-6.3927
9.88,-6.34544
9.89,-6.28802
9.9,-6.22046
9.91,-6.14284
9.92,-6.05524
9.93,-5.95778
9.94,-5.85057
9.95,-5.73379
9.96,-5.6076
9.97,-5.47221
9.98,-5.32785
9.99,-5.17476
10,-5.0132
10.01,-4.84347
10.02,-4.66589
10.03,-4.48077
10.04,-4.28847
10.05,-4.08937
10.06,-3.88385
10.07,-3.67231
10.08,-3.45517
10.09,-3.23289
10.1,-3.00591
10.11,-2.77469
10.12,-2.53972
10.13,-2.30149
10.14,-2.0605
10.15,-1.81727
10.16,-1.57231
10.17,-1.32614
10.18,-1.07931
10.19,-0.832355
10.2,-0.585805
10.21,-0.340205
10.22,-0.0960984
10.23,0.145975
10.24,0.385476
10.25,0.621871
10.26,0.85463
10.27,1.08323
10.28,1.30716
10.29,1.52591
10.3,1.73898
10.31,1.9459
10.32,2.1462
10.33,2.33942
10.34,2.52512
10.35,2.70288
10.36,2.8723
10.37,3.033
10.38,3.18461
10.39,3.3268
10.4,3.45924
10.41,3.58165
10.42,3.69375
10.43,3.7953
10.44,3.88609
10.45,3.96592
10.46,4.03463
10.47,4.09209
10.48,4.13819
10.49,4.17287
10.5,4.19606
10.51,4.20777
10.52,4.20801
10.53,4.19681
10.54,4.17426
10.55,4.14047
10.56,4.09557
10.57,4.03974
10.58,3.97316
10.59,3.89608
10.6,3.80874
10.61,3.71144
10.62,3.60449
10.63,3.48823
10.64,3.36304
10.65,3.22931
10.66,3.08746
10.67,2.93795
10.68,2.78124
10.69,2.61782
10.7,2.44822
